nct_id,trial,status,n,age_mean,age_sd,male,como_ct_mean,como_ct_sd,como_ct_total,como_ct_0,como_ct_1,como_ct_2plus,white,asian,black,native,other,ethnic_na
NCT00034840,BI502_327,rand,490,55,10,372,0.77,0.9,379,230,169,91,439,0,33,0,18,0
NCT00034840,BI502_327,sf,350,55,10,192,0.76,0.92,265,170,118,62,308,0,32,0,9,1
NCT00051558,LILLY_B3D_US_GHBZ,rand,429,57,14,84,2.75,1.32,1179,1,64,364,302,3,29,0,95,0
NCT00051558,LILLY_B3D_US_GHBZ,sf,283,57,14,64,0.02,0.42,7,282,0,1,214,0,19,0,50,0
NCT00125918,LILLY_H6D_MC_LVGY,rand,406,54,16,88,2.13,1.77,863,88,82,236,327,34,35,6,2,2
NCT00125918,LILLY_H6D_MC_LVGY,sf,62,NA,NA,15,NA,NA,0,0,0,0,48,7,5,2,0,0
NCT00153023,BI502_396,rand,885,61,9,567,2.78,1.09,2456,2,42,841,700,0,16,0,169,0
NCT00153023,BI502_396,sf,291,63,9,186,1.53,0.99,445,23,153,115,221,0,20,0,49,1
NCT00153088,BI502_413,rand,527,61,8,385,1.21,1.04,638,140,212,175,0,0,0,0,0,527
NCT00153088,BI502_413,sf,1047,61,9,687,1.14,1.03,1190,316,412,319,0,0,0,0,0,1047
NCT00168857,BI502_397,rand,860,60,9,535,3.08,1.35,2652,2,50,808,405,0,102,0,353,0
NCT00168857,BI502_397,sf,409,61,9,240,1.17,1.34,478,169,105,135,203,0,74,0,132,0
NCT00274599,BI502_392,rand,812,53,10,543,0.91,0.92,738,315,311,186,712,0,70,0,30,0
NCT00274599,BI502_392,sf,971,54,11,497,0.84,0.92,815,423,343,205,897,0,52,0,13,9
NCT00274612,BI502_391,rand,801,54,11,479,0.71,0.86,568,405,257,139,0,0,0,0,0,801
NCT00274612,BI502_391,sf,763,58,12,341,0.59,0.84,452,451,201,111,0,0,0,0,0,763
NCT00402233,BI248_622,rand,311,62,10,207,2.13,1.48,662,46,66,199,0,0,0,0,0,311
NCT00402233,BI248_622,sf,12,73,5,8,NA,NA,0,0,0,0,0,0,0,0,0,12
NCT00466167,BI248_525,rand,518,61,10,285,0.89,1.05,463,237,161,120,260,258,0,0,0,0
NCT00466167,BI248_525,sf,99,68,11,36,1.13,1.17,112,37,30,32,42,57,0,0,0,0
NCT00472199,BI248_629,rand,331,57,12,133,1.4,1.23,465,84,110,137,0,0,0,0,0,331
NCT00472199,BI248_629,sf,166,56,15,51,1.15,1.17,191,60,53,53,0,0,0,0,0,166
NCT00479401,BI248_524,rand,539,62,10,299,1.21,1.25,654,191,161,187,342,197,0,0,0,0
NCT00479401,BI248_524,sf,60,69,8,30,1.2,1.16,72,21,17,22,28,32,0,0,0,0
NCT00670319,LILLY_H3S_MC_GGGK,rand,8459,67,7,0,NA,NA,0,0,0,0,8086,161,31,0,181,0
NCT00670319,LILLY_H3S_MC_GGGK,sf,2443,67,7,0,NA,NA,0,0,0,0,2326,38,10,0,69,0
NCT00670501,LILLY_B3D_MC_GHAC,rand,2088,69,7,0,2.35,1.19,4905,3,565,1520,2031,0,0,0,57,0
NCT00670501,LILLY_B3D_MC_GHAC,sf,1557,70,7,0,2.25,1.36,3510,42,478,1037,1482,0,0,0,75,0
NCT00734474,LILLY_H9X_MC_GBCF,rand,1202,54,10,559,1.41,1.2,1698,281,439,482,613,285,50,1,251,2
NCT00734474,LILLY_H9X_MC_GBCF,sf,48,56,10,23,1.12,1.28,54,18,18,12,22,9,6,0,11,0
NCT00827242,LILLY_H6D_MC_LVHJ,rand,325,65,9,325,0.34,0.62,111,235,73,17,296,2,8,17,2,0
NCT00827242,LILLY_H6D_MC_LVHJ,sf,16,63,7,16,0.06,0.25,1,15,1,0,15,0,0,1,0,0
NCT00848081,LILLY_H6D_MC_LVHS,rand,318,67,9,318,2.4,1.33,763,19,61,238,281,2,31,1,3,0
NCT00848081,LILLY_H6D_MC_LVHS,sf,28,64,9,28,2.18,1.47,61,4,5,19,23,1,4,0,0,0
NCT00855582,LILLY_H6D_MC_LVHR,rand,606,63,8,606,1.09,1.14,658,235,174,197,565,14,23,1,3,0
NCT00855582,LILLY_H6D_MC_LVHR,sf,132,63,9,132,1.17,1.21,154,50,36,46,125,2,5,0,0,0
NCT00856284,TKASYR322_305,rand,2639,55,10,1312,0.64,0.91,1701,1481,789,369,0,0,0,0,0,2639
NCT00856284,TKASYR322_305,sf,3150,55,11,1536,NA,NA,0,0,0,0,0,0,0,0,0,3150
NCT00861757,LILLY_H6D_MC_LVHB,rand,629,63,8,629,0.97,1.05,612,254,217,158,0,629,0,0,0,0
NCT00861757,LILLY_H6D_MC_LVHB,sf,17,68,7,17,0.82,0.88,14,7,7,3,0,17,0,0,0,0
NCT00926289,BI502_550,rand,892,57,11,479,0.41,0.8,369,645,165,82,608,190,93,0,1,0
NCT00926289,BI502_550,sf,136,55,11,71,0.44,0.66,60,88,37,11,77,27,31,0,0,1
NCT00968708,TKASYR322_402,rand,5410,61,10,3674,2.09,1.27,11285,253,1837,3320,0,0,0,0,0,5410
NCT00968708,TKASYR322_402,sf,2627,61,10,1676,0.25,0.69,646,2244,209,174,0,0,0,0,0,2627
NCT00970632,LILLY_H6D_MC_LVID,rand,511,64,8,511,1.05,1.09,537,202,150,159,392,0,1,118,0,0
NCT00970632,LILLY_H6D_MC_LVID,sf,39,66,9,39,0.85,1.09,33,21,8,10,33,0,1,5,0,0
NCT01064687,LILLY_H9X_MC_GBDA,rand,978,56,10,571,1.9,1.29,1860,125,289,564,728,24,76,135,14,1
NCT01064687,LILLY_H9X_MC_GBDA,sf,177,55,10,81,0.94,1.2,166,91,35,51,109,2,32,33,1,0
NCT01075282,LILLY_H9X_MC_GBDB,rand,829,57,9,421,1.35,1.08,1123,179,328,322,571,156,4,91,7,0
NCT01075282,LILLY_H9X_MC_GBDB,sf,69,54,10,42,0.7,1.1,48,43,12,14,36,13,0,20,0,0
NCT01126580,LILLY_H9X_MC_GBDC,rand,807,56,10,353,1.41,1.2,1140,192,292,323,600,61,53,85,8,0
NCT01126580,LILLY_H9X_MC_GBDC,sf,103,57,11,50,0.43,0.94,44,80,10,13,77,6,9,5,4,2
NCT01164501,BI1245_36,rand,741,64,9,432,0.28,0.62,204,591,106,44,447,267,22,1,4,0
NCT01164501,BI1245_36,sf,576,61,9,299,0.9,1.18,521,297,135,144,102,112,23,1,1,337
NCT01370005,BI1245_48,rand,825,60,9,496,NA,NA,0,0,0,0,773,8,41,2,1,0
NCT01370005,BI1245_48,sf,1005,62,9,638,NA,NA,0,0,0,0,226,6,35,0,1,737
NCT01719003,BI1276_1,rand,1418,53,11,811,0.32,0.64,458,1063,272,83,809,328,65,215,1,0
NCT01719003,BI1276_1,sf,1066,55,12,534,NA,NA,0,0,0,0,179,32,18,31,0,806
NCT02175355,BI502_254,rand,1039,63,11,449,0.55,0.8,573,629,280,130,937,0,3,0,8,91
NCT02175355,BI502_254,sf,178,63,12,83,0.59,0.89,105,105,54,19,167,0,1,0,5,5
NCT02177344,BI244_2484,rand,646,66,8,371,1.54,1.29,996,142,217,287,636,0,4,0,6,0
NCT02177344,BI244_2484,sf,249,66,10,141,1.23,1.33,306,96,68,85,241,0,1,0,1,6
NCT02177396,BI502_256,rand,426,53,10,290,0.68,0.87,290,218,150,58,355,0,64,0,7,0
NCT02177396,BI502_256,sf,410,55,11,179,NA,NA,0,0,0,0,358,0,45,0,5,2
NCT02242318,BI502_376,rand,446,53,10,272,0.58,0.86,257,275,105,66,391,0,4,0,1,50
NCT02242318,BI502_376,sf,395,57,11,154,0.55,0.75,217,230,122,43,360,0,2,0,0,33
